"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"ATTINY841";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny841-SSU";;;
2;"C2";"C_0805_2012Metric";1;"1uF";;;
3;"C5,C4";"C_0805_2012Metric";2;"22pF";;;
4;"D2";"D_SMB";1;"SMBJ5.0A";;;
5;"F1";"Fuse_1812_4532Metric";1;"mSMD150";;;
6;"POWER1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Battery";;;
7;"Q1";"SOT-23";1;"AO3400A";;;
8;"R3";"R_0805_2012Metric";1;"6.8K";;;
9;"R4";"R_0805_2012Metric";1;"2.7K";;;
10;"R5";"R_0805_2012Metric";1;"220OHMS";;;
11;"R8,R12,R25,R26,R29,R30,R24,R6,R22,R32,R39,R33,R31,R36,R38,R35,R34,R37";"R_2010_5025Metric";18;"3.3OHM 3/4W";;;
12;"R16";"R_0805_2012Metric";1;"4.7KOHMS";;;
13;"R18";"R_0805_2012Metric";1;"2.2KOHMS";;;
14;"R19";"R_0805_2012Metric";1;"CMFB103F3950FANT";;;
15;"R20,R1,R15";"R_0805_2012Metric";3;"10KOHMS";;;
16;"RX1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"RX Connector";;;
17;"TX1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"TX Connector";;;
18;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8MHZ Ceramic Resonator";;;
19;"D4";"LED_0805_2012Metric";1;"Blue";;;
20;"C1";"C_0805_2012Metric";1;"100nF";;;
21;"U1";"SOP-4_4.4x2.6mm_P1.27mm";1;"EL3H7(B)(TA)-G";;;
22;"R2";"R_0805_2012Metric";1;"1KOHMS";;;
23;"D1";"SOT-23";1;"AZ432ANTR-E1";;;
24;"R14";"R_0805_2012Metric";1;"510OHMS";;;
