Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BATT_BCKP","BR-1632A_HAN",-170.400000,-88.800000,90.000000,bottom
"C8","0.1uF","C_0603_1608Metric",-126.612500,-103.800000,180.000000,bottom
"C9","0.1uF","C_0603_1608Metric",-130.600000,-98.962500,90.000000,bottom
"C13","0.1uF","C_0603_1608Metric",-130.600000,-102.112500,-90.000000,bottom
"C21","0.1uF","C_0603_1608Metric",-152.300000,-97.237500,-90.000000,bottom
"C23","0.1uF","C_0603_1608Metric",-150.700000,-97.237500,-90.000000,bottom
"C42","0.1uF","C_0603_1608Metric",-123.400000,-86.700000,180.000000,bottom
"C44","0.1uF","C_0603_1608Metric",-126.400000,-82.900000,-90.000000,bottom
"FB1","1.5A","L_0603_1608Metric",-123.400000,-88.300000,180.000000,bottom
"FB2","1.5A","L_0603_1608Metric",-128.000000,-82.900000,90.000000,bottom
"J9","Micro_SD_Card","microSD_HC_Wuerth_693072010801",-150.000000,-72.000000,180.000000,bottom
"Q2","SST3906HZGT116","SOT-23",-156.550000,-97.000000,90.000000,bottom
"R12","10k","R_0603_1608Metric",-123.500000,-99.312500,90.000000,bottom
"R13","10k","R_0603_1608Metric",-123.500000,-102.537500,-90.000000,bottom
"R14","200k","R_0603_1608Metric",-114.037500,-98.550000,180.000000,bottom
"R15","10k","R_0603_1608Metric",-114.750000,-101.012500,-90.000000,bottom
"R16","10k","R_0603_1608Metric",-113.000000,-101.012500,-90.000000,bottom
"R19","10k","R_0603_1608Metric",-144.000000,-82.787500,90.000000,bottom
"R20","10k","R_0603_1608Metric",-146.000000,-82.787500,90.000000,bottom
"R23","10k","R_0603_1608Metric",-148.000000,-82.787500,90.000000,bottom
"R24","5.1k","R_0603_1608Metric",-123.400000,-79.200000,0.000000,bottom
"R25","5.1k","R_0603_1608Metric",-123.400000,-85.000000,180.000000,bottom
"R26","10k","R_0603_1608Metric",-150.000000,-82.787500,90.000000,bottom
"R27","10k","R_0603_1608Metric",-152.000000,-82.787500,90.000000,bottom
"R28","10k","R_0603_1608Metric",-154.000000,-82.787500,90.000000,bottom
"R32","1k","R_0603_1608Metric",-159.350000,-97.200000,-90.000000,bottom
"R33","27k","R_0603_1608Metric",-156.950000,-94.150000,180.000000,bottom
"R34","1k","R_0603_1608Metric",-153.950000,-97.212500,-90.000000,bottom
"U4","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",-127.550000,-100.800000,-90.000000,bottom
"U8","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",-147.900000,-97.250000,-90.000000,bottom
"U10","PCA9306DP","TSSOP-8_3x3mm_P0.65mm",-118.700000,-101.000000,180.000000,bottom
"U13","USBLC6-2SC6","SOT-23-6",-123.500000,-82.100000,0.000000,bottom
