"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"1V8,5V,12V,3V3";"PinHeader_1x01_P1.00mm_Vertical";4;"PinHeader_1x01_P1.00mm_Vertical";;;
2;"R29,R36";"R_0603_1608Metric";2;"470R";;;
3;"U14,U15";"SOP-4_4.4x2.6mm_P1.27mm";2;"FODM217C";;;
4;"R31,R38";"R_0603_1608Metric";2;"100R";;;
5;"R30,R11,R21,R37";"R_0603_1608Metric";4;"100k";;;
6;"Q1,Q3";"SOT-23";2;"DMP3030SN-7";;;
7;"D1,D2";"D_0603_1608Metric";2;"D_Schottky";;;
8;"H1,H2,H3";"MountingHole_3.2mm_M3_Pad_Via";3;"MountingHole_Pad";;;
9;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Power Header";;;
10;"J7";"PinHeader_2x03_P2.54mm_Vertical";1;"Signal Header";;;
11;"BT1";"BR-1632A_HAN";1;"BATT_BCKP";;;
12;"C1,C11,C12,C18,C24,C27,C31";"C_0603_1608Metric";7;"10uF";;;
13;"C2,C6,C8,C9,C10,C13,C16,C19,C21,C23,C26,C42,C44";"C_0603_1608Metric";13;"0.1uF";;;
14;"C3";"C_0603_1608Metric";1;"15 uF";;;
15;"C4,C5,C14,C15";"C_0603_1608Metric";4;"20pF";;;
16;"C7";"C_0603_1608Metric";1;"22uF";;;
17;"C17,C33,C36,C37,C38";"C_1206_3216Metric";5;"22uF";;;
18;"C20";"C_0603_1608Metric";1;"10pF";;;
19;"C22,C29";"C_0603_1608Metric";2;"1.0uF";;;
20;"C25,C28,C30,C32";"C_0603_1608Metric";4;"4.7uF";;;
21;"C34,C35,C39";"C_0603_1608Metric";3;"100nF";;;
22;"C40";"C_0805_2012Metric";1;"200nF";;;
23;"C41,C43";"CAPC6153X670N";2;"22uF";;;
24;"F1,F4";"Fuse_0603_1608Metric";2;"2A";;;
25;"F2,F3";"Fuse_0603_1608Metric";2;"3A";;;
26;"FB1,FB2";"L_0603_1608Metric";2;"1.5A";;;
27;"J1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Conn_Coaxial";;;
28;"J3,J4,J5,J6";"Molex_Nano-Fit_105314-xx08_2x04_P2.50mm_Horizontal";4;"Conn_02x04_Odd_Even";;;
29;"J8";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
30;"J9";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
31;"L1";"L_0805_2012Metric";1;"2.2 uH";;;
32;"L2";"L_Wuerth_MAPI-2510";1;"330nH";;;
33;"L3";"Vishay-IHLP-3232DZ-FP_2.413x5.334-3D_4.0-0-0-MFG";1;"3.3uH";;;
34;"L4";"L_Wuerth_WE-LQS-8040";1;"12uH";;;
35;"Q2";"SOT-23";1;"SST3906HZGT116";;;
36;"R1,R8";"R_0603_1608Metric";2;"1M";;;
37;"R2";"R_0603_1608Metric";1;"732k";;;
38;"R3,R6,R12,R13,R15,R16,R18,R19,R20,R23,R26,R27,R28";"R_0603_1608Metric";13;"10k";;;
39;"R4,R5";"R_0603_1608Metric";2;"22";;;
40;"R7";"R_0603_1608Metric";1;"8.06k";;;
41;"R9";"R_0603_1608Metric";1;"365k";;;
42;"R10";"R_0603_1608Metric";1;"453k";;;
43;"R14";"R_0603_1608Metric";1;"200k";;;
44;"R17";"R_0603_1608Metric";1;"54.9k";;;
45;"R22";"R_0603_1608Metric";1;"5.23k";;;
46;"R24,R25";"R_0603_1608Metric";2;"5.1k";;;
47;"R32,R34";"R_0603_1608Metric";2;"1k";;;
48;"R33";"R_0603_1608Metric";1;"27k";;;
49;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"Reset";;;
50;"SW2";"SW_Push_SPST_NO_Alps_SKRK";1;"Boot";;;
51;"SW3";"SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile";1;"SW_DIP_x04";;;
52;"U1";"TSOT-23-5";1;"LM3670MF";;;
53;"U2,U6";"MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm_ThermalVias";2;"LTC4419";;;
54;"U3";"ESP32-S2-WROOM";1;"ESP32-S2-WROOM";;;
55;"U4";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
56;"U5";"SOT-583";1;"TPS628502";;;
57;"U7";"ublox_NEO";1;"NEO-M9N";;;
58;"U8";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
59;"U9";"LR62E";1;"LR62E";;;
60;"U10";"TSSOP-8_3x3mm_P0.65mm";1;"PCA9306DP";;;
61;"U11";"SOT-23-6";1;"TPS565201";;;
62;"U12";"SOT-23-6";1;"TPS54202DDR";;;
63;"U13";"SOT-23-6";1;"USBLC6-2SC6";;;
64;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768KHz 12.5p";;;
