Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",178.800000,-83.950000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",138.462500,-65.000000,180.000000,top
"C3","15 uF","C_0603_1608Metric",135.000000,-97.700000,0.000000,top
"C4","20pF","C_0603_1608Metric",142.037500,-92.050000,0.000000,top
"C5","20pF","C_0603_1608Metric",145.200000,-92.050000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",128.687500,-70.200000,0.000000,top
"C7","22uF","C_0603_1608Metric",138.450000,-66.600000,180.000000,top
"C10","0.1uF","C_0603_1608Metric",133.687500,-70.200000,0.000000,top
"C11","10uF","C_0603_1608Metric",132.300000,-102.100000,90.000000,top
"C12","10uF","C_0603_1608Metric",174.000000,-81.600000,270.000000,top
"C14","20pF","C_0603_1608Metric",154.650000,-92.050000,180.000000,top
"C15","20pF","C_0603_1608Metric",148.312500,-92.050000,180.000000,top
"C16","0.1uF","C_0603_1608Metric",161.300000,-64.550000,180.000000,top
"C17","22uF","C_1206_3216Metric",181.800000,-87.400000,0.000000,top
"C18","10uF","C_0603_1608Metric",161.600000,-98.700000,90.000000,top
"C19","0.1uF","C_0603_1608Metric",162.400000,-81.587500,270.000000,top
"C22","1.0uF","C_0603_1608Metric",165.700000,-81.600000,270.000000,top
"C24","10uF","C_0603_1608Metric",164.100000,-81.600000,270.000000,top
"C25","47uF","C_1206_3216Metric",176.000000,-86.200000,270.000000,top
"C26","0.1uF","C_0603_1608Metric",123.450000,-90.500000,180.000000,top
"C27","10uF","C_0603_1608Metric",164.612500,-96.300000,180.000000,top
"C29","1.0uF","C_0603_1608Metric",123.450000,-88.900000,180.000000,top
"C31","10uF","C_0603_1608Metric",123.450000,-92.200000,180.000000,top
"C33","22uF","C_1206_3216Metric",190.600000,-105.400000,180.000000,top
"C34","100nF","C_0603_1608Metric",186.600000,-105.000000,0.000000,top
"C35","100nF","C_0603_1608Metric",188.600000,-99.400000,180.000000,top
"C36","22uF","C_1206_3216Metric",170.950000,-103.350000,90.000000,top
"C37","22uF","C_1206_3216Metric",173.450000,-103.350000,90.000000,top
"C38","22uF","C_1206_3216Metric",156.750000,-109.250000,180.000000,top
"C39","100nF","C_0603_1608Metric",157.500000,-102.350000,270.000000,top
"C40","200nF","C_0805_2012Metric",161.100000,-105.750000,270.000000,top
"C41","22uF","CAPC6153X670N",140.800000,-99.200000,270.000000,top
"C43","22uF","CAPC6153X670N",140.800000,-107.200000,90.000000,top
"D1","D_Schottky","D_0603_1608Metric",160.600000,-112.800000,0.000000,top
"D2","D_Schottky","D_0603_1608Metric",144.600000,-113.000000,0.000000,top
"F1","2A","Fuse_0603_1608Metric",178.200000,-86.450000,270.000000,top
"F2","3A","Fuse_0603_1608Metric",168.000000,-98.700000,90.000000,top
"F3","3A","Fuse_0603_1608Metric",173.950000,-98.700000,270.000000,top
"F4","2A","Fuse_0603_1608Metric",145.000000,-110.200000,90.000000,top
"J1","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",132.400000,-74.150000,90.000000,top
"J8","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",116.500000,-82.050000,270.000000,top
"L1","2.2 uH","L_0805_2012Metric",134.900000,-103.950000,180.000000,top
"L3","3.3uH","Vishay-IHLP-3232DZ-FP_2.413x5.334-3D_4.0-0-0-MFG",179.800000,-101.400000,180.000000,top
"L4","12uH","L_Wuerth_WE-LQS-8040",149.300000,-104.600000,180.000000,top
"Q1","DMP3030SN-7","SOT-23",157.000000,-114.800000,180.000000,top
"Q3","DMP3030SN-7","SOT-23",141.200000,-115.000000,180.000000,top
"R1","1M","R_0603_1608Metric",182.000000,-82.712500,90.000000,top
"R2","732k","R_0603_1608Metric",182.000000,-79.600000,270.000000,top
"R3","10k","R_0603_1608Metric",148.312500,-90.450000,180.000000,top
"R4","22","R_0603_1608Metric",152.300000,-91.300000,270.000000,top
"R5","22","R_0603_1608Metric",150.650000,-91.300000,270.000000,top
"R6","10k","R_0603_1608Metric",161.300000,-66.350000,0.000000,top
"R8","1M","R_0603_1608Metric",161.600000,-101.912500,270.000000,top
"R9","365k","R_0603_1608Metric",168.000000,-101.900000,270.000000,top
"R17","54.9k","R_0603_1608Metric",190.600000,-102.600000,270.000000,top
"R18","10k","R_0603_1608Metric",192.200000,-102.600000,90.000000,top
"R21","100k","R_0603_1608Metric",159.200000,-105.950000,270.000000,top
"R22","5.23k","R_0603_1608Metric",160.100000,-109.050000,90.000000,top
"R29","470R","R_0603_1608Metric",154.400000,-115.200000,90.000000,top
"R30","100k","R_0603_1608Metric",161.200000,-115.200000,270.000000,top
"R31","100R","R_0603_1608Metric",159.600000,-115.200000,270.000000,top
"R36","470R","R_0603_1608Metric",138.600000,-115.387500,90.000000,top
"R37","100k","R_0603_1608Metric",145.400000,-115.400000,270.000000,top
"R38","100R","R_0603_1608Metric",143.800000,-115.400000,270.000000,top
"SW1","Reset","SW_Push_SPST_NO_Alps_SKRK",128.900000,-66.200000,90.000000,top
"SW2","Boot","SW_Push_SPST_NO_Alps_SKRK",133.900000,-66.200000,90.000000,top
"SW3","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile",167.850000,-89.195000,270.000000,top
"U1","LM3670MF","TSOT-23-5",134.900000,-100.700000,270.000000,top
"U2","LTC4419","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm_ThermalVias",178.000000,-80.850000,180.000000,top
"U3","ESP32-S2-WROOM","ESP32-S2-WROOM",141.000000,-57.000000,0.000000,top
"U5","TPS75233QPWPR","SOP65P640X110-21N",179.400000,-92.600000,270.000000,top
"U6","LTC4419","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm_ThermalVias",164.790000,-100.310000,90.000000,top
"U7","NEO-M9N","ublox_NEO",132.700000,-84.700000,180.000000,top
"U9","LR62E","LR62E",168.100000,-72.300000,0.000000,top
"U11","TPS565201","SOT-23-6",187.600000,-102.200000,0.000000,top
"U12","TPS54202DDR","SOT-23-6",156.400000,-105.800000,0.000000,top
"U14","FODM217C","SOP-4_4.4x2.6mm_P1.27mm",157.800000,-118.400000,0.000000,top
"U15","FODM217C","SOP-4_4.4x2.6mm_P1.27mm",142.000000,-118.600000,0.000000,top
"Y1","32.768KHz 12.5p","Crystal_SMD_3215-2Pin_3.2x1.5mm",143.950000,-90.000000,180.000000,top
