"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5";"SOP65P640X110-21N";1;"TPS75233QPWPR";;;
2;"J8";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
3;"J3,J4,J5,J6";"Molex_Nano-Fit_105314-xx08_2x04_P2.50mm_Horizontal";4;"Conn_02x04_Odd_Even";;;
4;"U7";"ublox_NEO";1;"NEO-M9N";;;
5;"U3";"ESP32-S2-WROOM";1;"ESP32-S2-WROOM";;;
6;"R29,R36";"R_0603_1608Metric";2;"470R";;;
7;"U14,U15";"SOP-4_4.4x2.6mm_P1.27mm";2;"FODM217C";;;
8;"R31,R38";"R_0603_1608Metric";2;"100R";;;
9;"R30,R21,R37";"R_0603_1608Metric";3;"100k";;;
10;"Q1,Q3";"SOT-23";2;"DMP3030SN-7";;;
11;"D1,D2";"D_0603_1608Metric";2;"D_Schottky";;;
12;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Power Header";;;
13;"J7";"PinHeader_2x03_P2.54mm_Vertical";1;"Signal Header";;;
14;"BT1";"BR-1632A_HAN";1;"BATT_BCKP";;;
15;"C1,C11,C12,C18,C24,C27,C31";"C_0603_1608Metric";7;"10uF";;;
16;"C2,C6,C8,C9,C10,C13,C16,C19,C21,C23,C26,C42,C44";"C_0603_1608Metric";13;"0.1uF";;;
17;"C3";"C_0603_1608Metric";1;"15 uF";;;
18;"C4,C5,C14,C15";"C_0603_1608Metric";4;"20pF";;;
19;"C7";"C_0603_1608Metric";1;"22uF";;;
20;"C17,C33,C36,C37,C38";"C_1206_3216Metric";5;"22uF";;;
21;"C22,C29";"C_0603_1608Metric";2;"1.0uF";;;
22;"C34,C35,C39";"C_0603_1608Metric";3;"100nF";;;
23;"C40";"C_0805_2012Metric";1;"200nF";;;
24;"C41,C43";"CAPC6153X670N";2;"22uF";;;
25;"F1,F4";"Fuse_0603_1608Metric";2;"2A";;;
26;"F2,F3";"Fuse_0603_1608Metric";2;"3A";;;
27;"FB1,FB2";"L_0603_1608Metric";2;"1.5A";;;
28;"J1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Conn_Coaxial";;;
29;"J9";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
30;"L1";"L_0805_2012Metric";1;"2.2 uH";;;
31;"L3";"Vishay-IHLP-3232DZ-FP_2.413x5.334-3D_4.0-0-0-MFG";1;"3.3uH";;;
32;"L4";"L_Wuerth_WE-LQS-8040";1;"12uH";;;
33;"Q2";"SOT-23";1;"SST3906HZGT116";;;
34;"R1,R8";"R_0603_1608Metric";2;"1M";;;
35;"R2";"R_0603_1608Metric";1;"732k";;;
36;"R3,R6,R12,R13,R15,R16,R18,R19,R20,R23,R26,R27,R28";"R_0603_1608Metric";13;"10k";;;
37;"R4,R5";"R_0603_1608Metric";2;"22";;;
38;"R9";"R_0603_1608Metric";1;"365k";;;
39;"R14";"R_0603_1608Metric";1;"200k";;;
40;"R17";"R_0603_1608Metric";1;"54.9k";;;
41;"R22";"R_0603_1608Metric";1;"5.23k";;;
42;"R24,R25";"R_0603_1608Metric";2;"5.1k";;;
43;"R32,R34";"R_0603_1608Metric";2;"1k";;;
44;"R33";"R_0603_1608Metric";1;"27k";;;
45;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"Reset";;;
46;"SW2";"SW_Push_SPST_NO_Alps_SKRK";1;"Boot";;;
47;"SW3";"SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile";1;"SW_DIP_x04";;;
48;"U1";"TSOT-23-5";1;"LM3670MF";;;
49;"U2,U6";"MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm_ThermalVias";2;"LTC4419";;;
50;"U4";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
51;"U8";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
52;"U9";"LR62E";1;"LR62E";;;
53;"U10";"TSSOP-8_3x3mm_P0.65mm";1;"PCA9306DP";;;
54;"U11";"SOT-23-6";1;"TPS565201";;;
55;"U12";"SOT-23-6";1;"TPS54202DDR";;;
56;"U13";"SOT-23-6";1;"USBLC6-2SC6";;;
57;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768KHz 12.5p";;;
58;"C25";"C_1206_3216Metric";1;"47uF";;;
