Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",181.350000,-96.200000,90.000000,top
"C2","33pf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",181.350000,-89.600000,270.000000,top
"C3","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.900000,-87.800000,90.000000,top
"C4","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.900000,-87.800000,90.000000,top
"C5","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.000000,-103.450000,180.000000,top
"C6","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",143.000000,-70.700000,0.000000,top
"C7","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.900000,-87.800000,90.000000,top
"C8","0.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",125.900000,-87.800000,90.000000,top
"R0","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.100000,-84.900000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.100000,-84.900000,180.000000,top
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.100000,-84.900000,180.000000,top
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.100000,-84.900000,180.000000,top
"R4","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.200000,-64.300000,90.000000,top
"R8","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.300000,-84.900000,180.000000,top
"R9","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.300000,-84.900000,180.000000,top
"R10","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.300000,-84.900000,180.000000,top
"R11","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.300000,-84.900000,180.000000,top
"R12","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.850000,-100.550000,90.000000,top
"RLY0","CPC1002NTR","SOP-4_3.8x4.1mm_P2.54mm",164.600000,-90.000000,270.000000,top
"RLY1","CPC1002NTR","SOP-4_3.8x4.1mm_P2.54mm",150.600000,-90.000000,270.000000,top
"RLY2","CPC1002NTR","SOP-4_3.8x4.1mm_P2.54mm",136.600000,-90.000000,270.000000,top
"RLY3","CPC1002NTR","SOP-4_3.8x4.1mm_P2.54mm",122.600000,-90.000000,270.000000,top
"RLY4","CPC1002NTR","SOP-4_3.8x4.1mm_P2.54mm",150.000000,-100.300000,180.000000,top
"U1","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",150.000000,-70.050000,0.000000,top
"U2","ADS1115IDGST","VSSOP-10_3x3mm_P0.5mm",150.000000,-106.500000,180.000000,top
"U3","SC16IS740IPWQ900","TSSOP-16_4.4x5mm_P0.65mm",171.500000,-90.000000,270.000000,top
"U4","SC16IS740IPWQ900","TSSOP-16_4.4x5mm_P0.65mm",157.500000,-90.000000,270.000000,top
"U5","SC16IS740IPWQ900","TSSOP-16_4.4x5mm_P0.65mm",143.500000,-90.000000,270.000000,top
"U6","SC16IS740IPWQ900","TSSOP-16_4.4x5mm_P0.65mm",129.500000,-90.000000,270.000000,top
